Clinician/Group Name,Phone,Address,Website,City/Area,Gender,Virtual Option,Insurance List,Specialty(ies) List,Ages Served,Therapeutic Approaches
Atlanta Counseling Collective,470-284-4889,"3565 Piedmont Road 
Building 2 Suite 510
Atlanta, GA 30305",https://atlantacounselingcollective.com/,Buckhead,Female,In Person and Virtual Options,Various,"Academic Support, ADHD, Ander Management, Anxiety, Depression, Family Changes, OCD, Family Therapy & Parenting Support, Self-Esteem, Social Skill Development, Trauma or PTSD",All ages,
Atlanta Innovative Counseling Center,770.293.1950 ext. 101,"4045 Orchard Park, Suite 110
Smyrna, GA 30080",https://www.atlantainnovativecounseling.com/christi-bartolomucci,Smyrna,Female,In Person and Virtual Options,Various,"ADHD, Adoption, Ander Management, Anxiety, Art Therapy, Behavioral Challenges, Depression, Family Changes, Grief & Loss, Identity Development, Learning Differences, OCD, Family Therapy & Parenting Support, Play Therapy, Psychoeducational Testing, Self-Harm, Stress Management, Trauma or PTSD",All ages,"Art/Expressive Therapy, CBT, Emotionally Focused THerapy (EFT), EMDR, Family Systems Therapy, Play Therapy"
"Barnes, Amanda, LMFT",404-596-8775,"2964 Peachtree Road NW, Suite 760
Atlanta, Georgia 30305",https://growcounseling.com/team/amanda-barnes/,Buckhead,Female,In Person and Virtual Options,Private Pay Only,"Anxiety, Depression, Grief & Loss, Identity Development, Family Changes, Self-Esteem, Self-Harm, Trauma or PTSD",Teens and adults,
Behavioral Health Institute of Atlanta,404-256-9325,"5665 New Northside Dr.
Suite 500
Atlanta, GA  30328",https://www.bia1.com/,Sandy Springs,"Female, Male",In Person and Virtual Options,,"Academic Support, ADHD, Anxiety, Depression, Developmental (ASD), Family Changes, Learning Differences, Psychoeducational Testing, Stress Management",All ages,CBT
Behavioral Health Services of Atlanta,501-213-5220,"5887 Glenridge Dr. NE
Atlanta, GA. 30328",https://bhsofatlanta.com/,Atlanta,"Female, Male",In Person and Virtual Options,Cigna,"Anxiety, ADHD, Depression, Behavioral Challenges, Family Therapy & Parenting Support, Social Skill Development",All ages,"Acceptance & Committment Therapy (ACT), CBT, Person Centered/Humanistic Therapy"
Berman Psychotherapy,(404) 694-2027,"171 Village Parkway NE
Building 8A
Marietta, GA 30067

6425 Powers Ferry Road
Suite 300
Atlanta, GA 30339",https://www.bermanpsychotherapy.com/,"Marietta
Atlanta","Female, Male",In Person and Virtual Options,Various,"ADHD, Anxiety, Depression, Eating Disorders/Body Image, Family Changes, Grief & Loss, Identity Development, Self-Esteem, Stress Management, Trauma or PTSD",Teens and adults,"CBT, DBT, Internal Family Systems (IFS), Trauma Focused Therapy"
"Bishop, Mia LPC",(770) 726-9624,"1640 Powers Ferry Rd
Building 2, Suite 150
Marietta, GA 30067

9810 Medlock Bridge Rd
Building A, Suite 203
Johns Creek, GA 30097",https://www.myinneractions.com/mia-bishop,"Marietta
Johns Creek",Female,In Person and Virtual Options,Various,"ADHD, Anxiety, Depression, Developmental (ASD), Family Changes, Play Therapy, Stress Management, Trauma or PTSD",6 and older,Play Therapy
Bowbend Consulting,,,https://bowbendconsulting.com/,Brookhaven,Female,In Person and Virtual Options,,"Family Therapy & Parenting Support, Behavioral Challenges",,
"Branches College Park
Anchor Hospital Outpatient Services",404-470-9500,"5448 Yorktowne Drive
Atlanta, GA 30349",https://anchorhospital.com/programs-services/branches-outpatient/,College Park,,In Person and Virtual Options,"Most Major Carriers, Medicare, Managed Medicaid, TRICARE (same as Anchor Hospital)",Crisis Intervention,14 and older,Trauma Focused Therapy
"Brizendine, Brad, LPC",(706) 705-2931,"4200 Northside Parkway
Building 14, Suite 350
Atlanta, Georgia 30327",https://www.brizendinecounseling.com/,Atlanta,Male,In Person and Virtual Options,Various,"Anxiety, Depression, Family Changes, Grief & Loss, Social Skill Development, Stress Management",14 and older,"Acceptance & Committment Therapy (ACT), CBT, Christian/Faith-Based Counseling, Person Centered/Humanistic Therapy"
"Burling, April, Ph.D.",(404) 596-8775,"2964 Peachtree Road NW, Suite 760, Atlanta, GA 30305",https://www.growcounseling.com/team/april-burling/,Buckhead,Female,In Person and Virtual Options,Private Pay Only,Psychoeducational Testing,Teens and Adults,Person Centered/Humanistic Therapy
"Campis, Leslie, PhD",470-588-1092,"455 East Paces Ferry Rd. NE 
Ste. 203     
Atlanta, GA 30305",https://drlesliecampis.com/,Atlanta,Female,In Person Only,Various,"Anxiety, Depression, Family Changes, Grief & Loss, Identity Development, Family Therapy & Parenting Support, Self-Esteem, Trauma or PTSD",All ages,
"Carrick, Christina, LCSW",404-242-3395,235 E. Ponce Dr Leon Ave Suite 120 Decatur 30030,http://www.carrickcounseling.com/,Decatur,Female,In Person and Virtual Options,Private Pay; Sliding Scale via Open Path Collective ($40-80/session),"Trauma or PTSD, Family Therapy & Parenting Support, Social Skill Development, Behavioral Challenges, Grief & Loss, Play Therapy",All ages,"EMDR, Play Therapy"
"Celcer, Irene LCSW",(404) 869-8902,"2996 Grandview Avenue NE, Suite 207
Atlanta, GA 30305",https://care.headway.co/providers/irene-celcer?utm_source=google&utm_medium=cpc&utm_campaign=23782671489&utm_adgroup=200814172070&utm_content=get-care&utm_term=&page_variant=&utm_loc_physical=9010957&utm_loc_interest=&gad_source=1&gad_campaignid=23782671489&gbraid=0AAAAAoLs-VUcP05e0Dy92hxX7TmEZLsWh&gclid=Cj0KCQjw16_UBhCqARIsAIdOaXwFVglzCfvP8MU4s5Yekkt-lgzKNOpHgC7BLixPc8Zob97hASrbsWgaAjWaEALw_wcB,Atlanta,Female,Virtual Only,,"Bi-Lingual, Identity Development, Anxiety, Eating Disorders/Body Image, Family Changes",Teens and Adults,Psychodynamic/Psychoanalytic
"Chase, Thandi LCSW",404-532-9632,"108 East Ponce De Leon Ave
Suite 208
Decatur, GA 30030",https://chasetherapy.com/,Decatur,Female,In Person and Virtual Options,,"Identity Development, Self-Esteem, Trauma or PTSD, Grief & Loss, Family Changes, Academic Support, Stress Management",Teens and Adults,"DBT, EMDR"
"Chen Foley, Yuehong (Maria), Ph.D.",678-924-3201,"2775 Cruse Road	Suite 1601
Lawrenceville, GA 30044",http://www.responsiblechild.com/home.html,Lawrenceville,Female,In Person Only,"Medicaid, Amerigroup, Peachstate, AmBetter, BlueCross/BlueShield, Various","Play Therapy, Bi-Lingual, Family Therapy & Parenting Support",All ages,"Family Systems Therapy, Play Therapy, Other/Eclectic"
Claudia Calderon Psychology,404-913-2434,"1123 Clairmont Rd
Decatur, GA",https://www.calderonpsychology.com/,"Decatur
Atlanta",Female,In Person and Virtual Options,In-Network: Anthem BlueCross BlueShield; Superbill Provided for Out-of-Network Reimbursement,"Addiction/Substance Use, Anxiety, Bi-Lingual, Family Changes, Identity Development, Self-Harm, Trauma or PTSD",All ages,
Compass Counseling & Consulting,678-871-0256,"2854 Johnson Ferry Road, Suite 200
Marietta, GA 30062",https://www.keeleybaileyccc.com/,Marietta,Female,In Person Only,"In-Network: Anthem, BlueCross BlueShield, Humana, United Healthcare","Anxiety, Play Therapy, Trauma or PTSD",All ages,"CBT, DBT, EMDR, Play Therapy, Other/Eclectic"
Compassion Cove Counseling,770.810.5789,"3754 Lavista Road, Suite 200
Tucker GA 30084",https://www.compassioncovecounseling.com/,Tucker,"Female, Male",In Person and Virtual Options,Out-of-Network Only; Sliding Scale Offered,"Addiction/Substance Use, Anxiety, Depression, Eating Disorders/Body Image, Family Changes, Grief & Loss, Play Therapy, Trauma or PTSD",12 and older,"Acceptance & Committment Therapy (ACT), Attachment-Based Therapy, CBT, DBT, EMDR, Family Systems Therapy, Psychodynamic/Psychoanalytic, Trauma Focused Therapy, Other/Eclectic"
Cora Lee Institute,770-634-2349,"3080 Highlands Parkway SE, Suite A
Smyrna, GA 30082",https://coraleeinstitute.org/,Smyrna,Female,In Person Only,Out-of-Network; Patients Encouraged to Confirm OON Behavioral Health Benefits,"Academic Support, ADHD, Anxiety, Depression, Developmental (ASD), Family Changes, Grief & Loss, Play Therapy, Psychoeducational Testing, Social Skill Development, Trauma or PTSD",All ages,"CBT, Play Therapy, Solution-Focused Brief Therapy, Other/Eclectic"
"Cott, Sara",(404) 850-1270,"125 East Trinity Place
Decatur, GA 30030",www.saracott.com,Decatur,Female,Virtual Only,"Aetna, Various","Anxiety, Depression, Identity Development, OCD, Family Therapy & Parenting Support, Social Skill Development",Teens and Adults,
CPSYD Psychological Services,(516) 806-0030,"615 Colonial Park Drive, Suite 202, Roswell, GA 30075",https://cpsyd.com/,Roswell,Female,In Person and Virtual Options,"Aetna
Anthem Blue Cross Blue Shield
Ascension","ADHD, Anxiety, Developmental (ASD), Academic Support, Depression, Learning Differences, OCD, Psychoeducational Testing, Bi-Lingual",All Ages,
"Crawford, Mark, Ph.D.",770.993.0051,"11111 Houze St., Suite 320
Roswell, GA 30076",https://www.lylesandcrawford.com/,Roswell,Male,In Person Only,,"Addiction/Substance Use, ADHD, Anxiety, Depression, OCD, Family Therapy & Parenting Support, Psychoeducational Testing",Teens and Adults,
"Danielak, Mary, PsyD",770-442-9447,"314 Maxwell Road, Suite 400, Alpharetta, GA 30009",http://www.yourshrink.com/,Alpharetta,Female,In Person and Virtual Options,,"Psychoeducational Testing, Family Therapy & Parenting Support, Academic Support, ADHD, Anxiety, Behavioral Challenges, Social Skill Development, Stress Management",All ages,"CBT, Psychodynamic/Psychoanalytic"
Deepen Wellness,(404) 964-6629,"6 Lenox Pointe NE
Atlanta, GA 30324",https://deepenwellness.com/,"Buckhead
Decatur
Marietta",Female,In Person and Virtual Options,Out-of-Network Only,"Addiction/Substance Use, ADHD, Adoption, Ander Management, Anxiety, Behavioral Challenges, Depression, Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, OCD, Self-Esteem, Self-Harm, Stress Management, Trauma or PTSD",All ages,"Attachment-Based Therapy, DBT, Internal Family Systems (IFS), Somatic Therapy, Other/Eclectic"
"Desnoyers, Dee, PhD",404-348-3250,"57 Executive Park Dr NE #360
Atlanta, GA 30329",http://www.atlantacounseling.org/,Atlanta,Female,Virtual Only,Various,"Anxiety, Depression, Family Changes, Grief & Loss, Family Therapy & Parenting Support, Self-Esteem",All ages,"Play Therapy, Psychodynamic/Psychoanalytic"
Divine Intervention Counseling & Consulting Group,"(404) 419-2708","260 Peachtree Street NE
Atlanta, GA 30303",http://atlcounseling.org/index.php,Atlanta,Female,In Person Only,Most Insurances Accepted,"ADHD, Anxiety, Behavioral Challenges, Depression, Family Changes, Family Therapy & Parenting Support, Ander Management",All ages,Christian/Faith-Based Counseling
"Duke, Sara, M.M.Sc.",404-372-9808,1155 Fairway Gardens NE Atlanta 30319,saraduke.com,Atlanta,Female,In Person Only,"Not Applicable (Educational Consultant, not a clinical/insurance-based service)","Psychoeducational Testing, Academic Support",All ages,
East West Psychotherapy, 770-419-5657,"2655 Dallas Highway Suite 230
Marietta, Georgia 30064",https://www.eastwestpsych.com/,Marietta,"Female, Male",In Person Only,Varies by Clinician; Both Insurance-Paneled and Self-Pay Providers Available,"Anxiety, Depression, ADHD, Family Changes, Family Therapy & Parenting Support, Behavioral Challenges, Self-Esteem, Trauma or PTSD, Play Therapy, Eating Disorders/Body Image, Grief & Loss, Addiction/Substance Use, Crisis Intervention",All ages,Christian/Faith-Based Counseling
Ellis Evaluation and Consulting,678-538-6450,"2255 Cumberland Parkway, Building 500, Suite 140
Atlanta, GA 30339",https://www.ellisevaluationservices.com/,Atlanta,Female,In Person and Virtual Options,,"Academic Support, ADHD, Behavioral Challenges, Crisis Intervention, Family Changes, Psychoeducational Testing, Social Skill Development",All Ages,"Emotionally Focused THerapy (EFT), Other/Eclectic"
Emory Psychological Center,404-727-7451,"PAIS Building, Suite 504, 36 Eagle Row
Atlanta, GA 30322",https://psychology.emory.edu/psychological-center/,Atlanta,"Female, Male",In Person and Virtual Options,Sliding Scale self-pay,"Academic Support, Anxiety, Depression, Family Changes, Grief & Loss, Learning Differences, Family Therapy & Parenting Support, Psychoeducational Testing",6 and older,"Acceptance & Committment Therapy (ACT), CBT, DBT, Mindfulness-Based Therapy"
"Ford-Hutchinson, Tristan, LPC",(201) 481-4681,"5180 Roswell Road 
South Building Suite 106
Atlanta, GA 30342",https://tristanfordhutchinson.com/,Atlanta,Female,In Person and Virtual Options,United Healthcare,"Anxiety, Art Therapy, Family Changes, Grief & Loss, Self-Esteem, Social Skill Development, Trauma or PTSD",All ages,Art/Expressive Therapy
Gaia Counseling & Wellness,404-783-2079,"3232 Memorial Drive
Decatur, GA 30032

933 Garrett St Suite 103
Atlanta, GA 30316",https://www.gaiacounseling.com/,"Decatur
Atlanta","Female, Male",In Person and Virtual Options,Various,"Art Therapy, Family Therapy & Parenting Support, Play Therapy, Identity Development",All ages,Play Therapy
"Gandolfo, Joseph, LPC",,"317 Creekstone Ridge
Woodstock, GA 30188",https://care.headway.co/providers/joseph-gandolfo,Woodstock,Male,In Person and Virtual Options,"Aetna, Cigna, United Healthcare","Academic Support, ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Family Changes, Identity Development, Addiction/Substance Use, Self-Esteem, Stress Management",All ages,"CBT, Emotionally Focused THerapy (EFT), Internal Family Systems (IFS), Family Systems Therapy, Psychodynamic/Psychoanalytic, Person Centered/Humanistic Therapy, Other/Eclectic"
"Garber, Stephen, Ph.D.",404-256-2325,"5665 New Northside Dr., Suite 500, Atlanta, GA 30328",http://www.bia1.com/Stephen-W--Garber.html,Sandy Springs,Male,In Person Only,,"Psychoeducational Testing, Learning Differences, ADHD",All ages,
"Gard, Betsy, PhD.",470-464-8494,"1830 Independence Square
Suite A
Dunwoody, Georgia, 30338",https://drbetsygard.com/,Dunwoody,Female,In Person Only,Out-of-Network Only; Statement with Codes/DX Provided for Client Insurance Reimbursement; Sliding Scale Available,"Academic Support, Addiction/Substance Use, ADHD, Anxiety, Behavioral Challenges, Depression, Developmental (ASD), Grief & Loss, Learning Differences, OCD, Self-Esteem, Social Skill Development, Stress Management, Trauma or PTSD",Teens and Adults,
Georgia Crisis & Access Line,800-715-4225,"Call 24/7 to be connected with a crisis counselor
In home/on location crisis evaluations",https://dbhdd.georgia.gov/mobile-crisis-services,Georgia,"Female, Male",Virtual Only,Not Applicable (Free Crisis Line),"Crisis Intervention, Bi-Lingual",All ages,
Georgia State University: Psychology Clinic, 404-413-6229,"140 Decatur Street
Atlanta, GA  30303",https://psychologyclinic.gsu.edu/,Atlanta,"Female, Male",In Person Only,Sliding Scale; Low-Cost Training Clinic (not insurance-based),"ADHD, Behavioral Challenges, Developmental (ASD), Family Therapy & Parenting Support, Psychoeducational Testing",All ages,
"Glusman, Laurie",404-260-1541,"6000 Lake Forrest Drive NW, Suite 575
Atlanta, GA 30328",https://www.laurieglusmanphd.com/,Atlanta,Female,In Person and Virtual Options,Out of Network,"ADHD, Learning Differences, Psychoeducational Testing",All Ages,
Grow Counseling,Multiple,Multiple,https://growcounseling.com/,"Buckhead
Peachtree City
Suwanee
Alpharetta
Marietta","Female, Male",In Person and Virtual Options,Various,"Addiction/Substance Use, ADHD, Adoption, Ander Management, Anxiety, Behavioral Challenges, Depression, Eating Disorders/Body Image, Family Changes, Grief & Loss, Identity Development, OCD, Family Therapy & Parenting Support, Play Therapy, Self-Esteem, Self-Harm, Trauma or PTSD",All ages,
Grow Heal Change,(404) 846-0699,"3116 Maple Drive 
Atlanta, GA 30305",http://www.growhealchange.com/,Buckhead,,,Various,"ADHD, Anxiety, Depression, Eating Disorders/Body Image, Family Changes, Grief & Loss, Family Therapy & Parenting Support, Play Therapy, Self-Esteem, Social Skill Development, Stress Management, Trauma or PTSD",All ages,Other/Eclectic
Gwinett Psychiatry,(678) 226-2295,"170 Camden Hill Road
Suite: F Lawrenceville, GA 30046",https://gwinnettpsychiatry.com/,Lawrenceville,Female,In Person and Virtual Options,,"Psychiatrist, ADHD, Anxiety, Depression, Behavioral Challenges, OCD, Trauma or PTSD, Eating Disorders/Body Image",All ages,
"Hatcher, Nancy, Ph.D. & Associates",404.812.3433,"2964 Peachtree Rd. Suite 635
Atlanta, GA 30305",http://www.nmhatcher.com/,Buckhead,Female,In Person Only,Various,Psychoeducational Testing,All ages,
Healthy Minds Psychological Associates,770-375-8124,"479 Brockett Road Suite 100
Tucker, GA 30084",https://www.hmpsychology.com/,Tucker,"Female, Male",In Person and Virtual Options,,"ADHD, Developmental (ASD), Learning Differences, Anxiety, Depression, Behavioral Challenges, Ander Management, Trauma or PTSD, Grief & Loss, Social Skill Development, Family Changes, Family Therapy & Parenting Support, Psychoeducational Testing, Academic Support",All Ages,
"Heneghan, Jessi, LCSW",770-696-6365,"The Highland Building
675 Seminole Avenue, NE 
Atlanta, GA 30307",https://www.deeplyrootedatlanta.com/,Poncey-Highlands,Female,In Person and Virtual Options,Does Not Accept Insurance; Superbill Provided,"Family Therapy & Parenting Support, Family Changes",18 and older,"EMDR, Mindfulness-Based Therapy, Trauma Focused Therapy"
"Hilleary, Diane, LCSW",,,https://www.dianehilleary.com/,,Female,In Person and Virtual Options,,"Family Therapy & Parenting Support, Family Changes",18 and older,
Hillside Atlanta,(404) 875-4551,"690 Courtenay Drive NE
Atlanta, GA 30306",https://hside.org/,Virginia Highlands,"Female, Male",In Person and Virtual Options,Various,"Depression, Crisis Intervention, Behavioral Challenges, ""IOP, PHP"", Residential, Self-Harm, Trauma or PTSD",All Ages,DBT
"Hopkins, Nicole, LPC",404-247-1015,"1003 Bombay Lane
Roswell, GA 30076",https://nicolehopkinslpc.com/,Roswell,Female,In Person Only,,"Anxiety, Depression, ADHD, Academic Support, Ander Management, Stress Management, Social Skill Development, Self-Esteem, Family Changes, Learning Differences, Grief & Loss, Family Therapy & Parenting Support",6 and older,
"Huber, Lisa, M.D.",404-351-2008,"3520 Piedmont Rd NE
Atlanta, GA",pchprofessionals.com,Buckhead,"Female, Male",In Person and Virtual Options,Varies (Part of Peachtree Comprehensive Health),Psychoeducational Testing,All ages,"CBT, DBT, Other/Eclectic"
"Hunt, Mary Helen, Ph.D.",404-256-9325,"1 Concourse Pkwy, Suite 800
Atlanta, GA 30328",maryhelenhunt.com,Sandy Springs,Female,In Person and Virtual Options,,Psychoeducational Testing,All ages,CBT
Intown Family Therapy,678-379-7019,"464 Cherokee Avenue SE, Suite 202
Atlanta, GA 30312",https://www.intownfamilytherapy.com/,Grant Park,Female,In Person and Virtual Options,"Aetna, United Healthcare","ADHD, Ander Management, Anxiety, Depression, Family Changes, Learning Differences, Family Therapy & Parenting Support, Play Therapy, Self-Esteem, Social Skill Development",All ages,"Art/Expressive Therapy, CBT, Play Therapy, Somatic Therapy, Trauma Focused Therapy, Other/Eclectic"
"Jenkins, Johnnie, LPC, RPT",(770) 462-2235,"1871 Washington Road Suite 4
East Point, GA 30344",www.thejenkinscenter.com,East Point,Male,In Person Only,"Aetna, AmBetter, BlueCross/BlueShield, Cigna, Humana, United Healthcare, Various","Family Changes, Addiction/Substance Use, ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Social Skill Development, Self-Esteem, Play Therapy",All ages,"CBT, Play Therapy"
Jewish Family & Career Services,770-677-9300,"4549 Chamblee Dunwoody Road
Atlanta, GA 30338",https://jfcsatl.org/,Chamblee,"Male, Female",In Person and Virtual Options,Varies by Provider; Many Clinicians In-Network (Nonprofit),"Academic Support, ADHD, Family Therapy & Parenting Support, Psychoeducational Testing",All ages,
Johns Creek & Alpharetta Counseling,404-834-2363,"5755 North Point Parkway #280
Alpharetta, GA 30022 ",https://www.alpharettajohnscreekcounseling.com/,"Alpharetta, John's Creek","Female, Male",In Person and Virtual Options,Self-Pay Only; Superbills Provided for Out-of-Network Reimbursement,"Play Therapy, ADHD, Anxiety, Behavioral Challenges, Depression, Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Self-Esteem, Self-Harm, Social Skill Development, Trauma or PTSD, Stress Management, Identity Development",All ages,
Johns Creek Psychology,678-935-9567,"10475 Medlock Bridge Road
Building 300, Suite 315
Duluth, Georgia 30097",https://www.johnscreekpsychology.com/,Duluth,"Female, Male",In Person Only,In-Network: BlueCross BlueShield (varies by individual clinician - independent practitioners sharing office space),"Anxiety, Behavioral Challenges, Depression, Developmental (ASD), Family Changes, Identity Development, Family Therapy & Parenting Support, Trauma or PTSD",All ages,
"Jolles, Jonathan, LCSW",(770) 317-3540,,https://www.jonathanjolleslcsw.com/,,Male,Virtual Only,,"Addiction/Substance Use, Family Therapy & Parenting Support, Social Skill Development, Psychoeducational Testing",Teens and Adults,
"Jones, Ilia, LPC",770-831-5759,"897 Eva Kennedy Road 
Suwanee, GA 30024",https://iliajoneslpc.com/,Suwanee,Female,In Person Only,"In-Network: Aetna, BlueCross BlueShield, United Healthcare (also files out-of-network claims)","Anxiety, Depression, Family Therapy & Parenting Support, Self-Esteem, Stress Management",Teens and Adults,Other/Eclectic
Kaleidoscope Therapy & Holistic Wellness,470-236-9707,"1561 McLendon Ave NE
Atlanta, GA 30307",https://www.kaleidoscopefamilytherapy.com/about/,Atlanta,"Female, Male",In Person and Virtual Options,Out-of-Network for All Insurance Companies,"Anxiety, Family Changes, Grief & Loss, Identity Development",All ages,"Art/Expressive Therapy, Christian/Faith-Based Counseling, Holistic/Integrative Therapy, Internal Family Systems (IFS), Play Therapy, Somatic Therapy"
"Kerley, Craig, PsyD",(678) 264-3056,"570 Colonial Park Drive Suite 312
Roswell, GA 30075",https://www.psychologytoday.com/us/therapists/craig-kerley-roswell-ga/733875,"Roswell, Marietta",Male,In Person and Virtual Options,Out-of-Network Only; Superbill Provided; Accepts HSA/FSA and many EAPs,"Academic Support, Addiction/Substance Use, ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Developmental (ASD), Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, Learning Differences, OCD, Self-Esteem, Self-Harm, Social Skill Development, Stress Management, Trauma or PTSD",All ages,"Attachment-Based Therapy, CBT, DBT, Family Systems Therapy, Other/Eclectic"
